disease,disease index,gene,gene index
diabetes mellitus,19,1,0
glioblastoma,28,1,0
glioblastoma multiforme,29,1,0
alzheimer's disease,4,2,1
atherosclerosis,5,2,1
cardiovascular disease,10,2,1
diabetes mellitus,19,2,1
hepatoblastoma,33,2,1
multiple sclerosis,48,2,1
myocardial infarction,50,2,1
rheumatoid arthritis,65,2,1
acute promyelocytic leukemia,2,9,2
alzheimer's disease,4,9,2
breast cancer,9,9,2
cholangiocarcinoma,13,9,2
colorectal cancer,16,9,2
multiple sclerosis,48,9,2
alzheimer's disease,4,10,3
atherosclerosis,5,10,3
bladder cancer,7,10,3
breast cancer,9,10,3
cervical cancer,11,10,3
cholangiocarcinoma,13,10,3
colorectal cancer,16,10,3
coronary artery disease,17,10,3
diabetes mellitus,19,10,3
glioblastoma,28,10,3
glioblastoma multiforme,29,10,3
glioma,30,10,3
heart disease,31,10,3
hypertension,36,10,3
pre-eclampsia,61,10,3
rheumatoid arthritis,65,10,3
tuberculosis,69,10,3
alzheimer's disease,4,12,4
atherosclerosis,5,12,4
cardiovascular disease,10,12,4
colon cancer,15,12,4
colorectal cancer,16,12,4
coronary artery disease,17,12,4
diabetes mellitus,19,12,4
diabetic retinopathy,20,12,4
glioblastoma,28,12,4
glioblastoma multiforme,29,12,4
glioma,30,12,4
hypertension,36,12,4
lupus nephritis,45,12,4
multiple sclerosis,48,12,4
myocardial infarction,50,12,4
osteoarthritis,55,12,4
rheumatoid arthritis,65,12,4
tuberculosis,69,12,4
cholangiocarcinoma,13,13,5
multiple sclerosis,48,13,5
osteosarcoma,56,13,5
diabetes mellitus,19,15,6
major depressive disorder,46,15,6
alzheimer's disease,4,17,7
cardiovascular disease,10,17,7
diabetes mellitus,19,17,7
glioblastoma,28,17,7
glioblastoma multiforme,29,17,7
glioma,30,17,7
heart disease,31,17,7
osteosarcoma,56,17,7
rheumatoid arthritis,65,17,7
diabetes mellitus,19,18,8
alzheimer's disease,4,19,9
atherosclerosis,5,19,9
cardiovascular disease,10,19,9
coronary artery disease,17,19,9
diabetes mellitus,19,19,9
glioblastoma,28,19,9
glioblastoma multiforme,29,19,9
glioma,30,19,9
heart disease,31,19,9
hepatoblastoma,33,19,9
hypertension,36,19,9
multiple sclerosis,48,19,9
myocardial infarction,50,19,9
nonalcoholic steatohepatitis,52,19,9
osteosarcoma,56,19,9
alzheimer's disease,4,20,10
cardiovascular disease,10,20,10
glioma,30,20,10
acute myeloid leukemia,1,21,11
hypertension,36,21,11
diabetes mellitus,19,23,12
rheumatoid arthritis,65,23,12
alzheimer's disease,4,24,13
atherosclerosis,5,24,13
cervical cancer,11,24,13
diabetes mellitus,19,24,13
glioma,30,24,13
myocardial infarction,50,24,13
prostate cancer,63,24,13
rheumatoid arthritis,65,24,13
tuberculosis,69,24,13
acute myeloid leukemia,1,25,14
acute promyelocytic leukemia,2,25,14
alzheimer's disease,4,25,14
cardiovascular disease,10,25,14
cervical cancer,11,25,14
diabetes mellitus,19,25,14
glioblastoma,28,25,14
glioblastoma multiforme,29,25,14
heart disease,31,25,14
hypertension,36,25,14
multiple sclerosis,48,25,14
papillary thyroid carcinoma,60,25,14
diabetes mellitus,19,26,15
myocardial infarction,50,26,15
rheumatoid arthritis,65,26,15
